start_date,end_date,label,total_email,brand
15/09/2021,15/09/2021,github_deprecation,0,miller.jason3737
15/09/2021,15/09/2021,google_security_alert,0,miller.jason3737
15/09/2021,15/09/2021,github_account_deletion,0,miller.jason3737
15/09/2021,15/09/2021,google_policy,0,miller.jason3737
15/09/2021,15/09/2021,google_2_steps_verification,0,miller.jason3737
16/09/2021,16/09/2021,github_device_verification,0,miller.jason3737
16/09/2021,16/09/2021,github_pat,0,miller.jason3737
16/09/2021,16/09/2021,github_deprecation,0,miller.jason3737
16/09/2021,16/09/2021,google_security_alert,0,miller.jason3737
16/09/2021,16/09/2021,github_account_deletion,0,miller.jason3737
16/09/2021,16/09/2021,google_policy,0,miller.jason3737
16/09/2021,16/09/2021,google_2_steps_verification,0,miller.jason3737
17/09/2021,17/09/2021,github_device_verification,0,miller.jason3737
17/09/2021,17/09/2021,github_pat,0,miller.jason3737
17/09/2021,17/09/2021,github_deprecation,0,miller.jason3737
17/09/2021,17/09/2021,google_security_alert,0,miller.jason3737
17/09/2021,17/09/2021,github_account_deletion,0,miller.jason3737
15/09/2021,15/09/2021,github_pat,0,miller.jason3737
15/09/2021,15/09/2021,github_device_verification,0,miller.jason3737
14/09/2021,14/09/2021,google_2_steps_verification,0,miller.jason3737
13/09/2021,13/09/2021,google_security_alert,0,miller.jason3737
12/09/2021,12/09/2021,github_deprecation,0,miller.jason3737
12/09/2021,12/09/2021,google_security_alert,0,miller.jason3737
12/09/2021,12/09/2021,github_account_deletion,0,miller.jason3737
12/09/2021,12/09/2021,google_policy,0,miller.jason3737
12/09/2021,12/09/2021,google_2_steps_verification,0,miller.jason3737
13/09/2021,13/09/2021,github_pat,0,miller.jason3737
13/09/2021,13/09/2021,github_deprecation,0,miller.jason3737
13/09/2021,13/09/2021,github_account_deletion,0,miller.jason3737
14/09/2021,14/09/2021,google_policy,0,miller.jason3737
13/09/2021,13/09/2021,google_policy,0,miller.jason3737
13/09/2021,13/09/2021,google_2_steps_verification,0,miller.jason3737
14/09/2021,14/09/2021,github_device_verification,0,miller.jason3737
14/09/2021,14/09/2021,github_pat,0,miller.jason3737
14/09/2021,14/09/2021,github_deprecation,0,miller.jason3737
14/09/2021,14/09/2021,google_security_alert,0,miller.jason3737
14/09/2021,14/09/2021,github_account_deletion,0,miller.jason3737
17/09/2021,17/09/2021,google_policy,0,miller.jason3737
18/09/2021,18/09/2021,github_device_verification,0,miller.jason3737
12/09/2021,12/09/2021,github_pat,0,miller.jason3737
18/09/2021,18/09/2021,github_pat,0,miller.jason3737
21/09/2021,21/09/2021,github_account_deletion,0,miller.jason3737
21/09/2021,21/09/2021,google_policy,0,miller.jason3737
21/09/2021,21/09/2021,google_2_steps_verification,0,miller.jason3737
22/09/2021,22/09/2021,github_device_verification,0,miller.jason3737
22/09/2021,22/09/2021,github_pat,0,miller.jason3737
22/09/2021,22/09/2021,github_deprecation,0,miller.jason3737
22/09/2021,22/09/2021,google_security_alert,0,miller.jason3737
22/09/2021,22/09/2021,github_account_deletion,0,miller.jason3737
22/09/2021,22/09/2021,google_policy,0,miller.jason3737
22/09/2021,22/09/2021,google_2_steps_verification,0,miller.jason3737
23/09/2021,23/09/2021,github_device_verification,0,miller.jason3737
23/09/2021,23/09/2021,github_pat,0,miller.jason3737
23/09/2021,23/09/2021,github_deprecation,0,miller.jason3737
23/09/2021,23/09/2021,google_security_alert,0,miller.jason3737
23/09/2021,23/09/2021,github_account_deletion,0,miller.jason3737
23/09/2021,23/09/2021,google_policy,0,miller.jason3737
23/09/2021,23/09/2021,google_2_steps_verification,0,miller.jason3737
21/09/2021,21/09/2021,google_security_alert,0,miller.jason3737
21/09/2021,21/09/2021,github_deprecation,0,miller.jason3737
21/09/2021,21/09/2021,github_pat,0,miller.jason3737
19/09/2021,19/09/2021,github_account_deletion,0,miller.jason3737
18/09/2021,18/09/2021,github_deprecation,0,miller.jason3737
18/09/2021,18/09/2021,google_security_alert,0,miller.jason3737
18/09/2021,18/09/2021,github_account_deletion,0,miller.jason3737
18/09/2021,18/09/2021,google_policy,0,miller.jason3737
18/09/2021,18/09/2021,google_2_steps_verification,0,miller.jason3737
19/09/2021,19/09/2021,github_pat,0,miller.jason3737
19/09/2021,19/09/2021,github_deprecation,0,miller.jason3737
19/09/2021,19/09/2021,google_policy,0,miller.jason3737
21/09/2021,21/09/2021,github_device_verification,0,miller.jason3737
